type,timestamp,time_diff,totalCursorDistance,totalMouseClicks,user_id,version_id,option_id,old_group,new_group,old_vote,new_vote,vote_diff,card_order,new_position,old_position,filled_page_action,raw_page_action,option_position,option_position_view
initializing system,2023-09-29 16:34:04.983000+00:00,103.501,5403.537287023075,1,S002,v2,,,,,,,,,,,,,
options/updateOptionGroup,2023-09-29 16:36:28.018000+00:00,39.534,6830.268504296783,4,S002,v2,option_16,Undecided,Positive,,,,6.0,,,grouping,,1.0,6.0
options/updateOptionGroup,2023-09-29 16:36:40.866000+00:00,12.848,690.2148448882518,1,S002,v2,option_29,Undecided,Neutral,,,,1.0,,,grouping,,2.0,5.0
options/updateOptionGroup,2023-09-29 16:36:44.061000+00:00,3.195,898.5496256040939,1,S002,v2,option_23,Undecided,Positive,,,,5.0,,,grouping,,1.0,6.0
options/updateOptionGroup,2023-09-29 16:37:12.085000+00:00,28.024,2085.2558187765203,3,S002,v2,option_20,Undecided,Positive,,,,2.0,,,grouping,,1.0,6.0
options/updateOptionGroup,2023-09-29 16:37:29.894000+00:00,17.809,1508.1878205547007,1,S002,v2,option_11,Undecided,Positive,,,,3.0,,,grouping,,1.0,6.0
options/updateOptionGroup,2023-09-29 16:37:35.362000+00:00,5.468,2.0,1,S002,v2,option_28,Undecided,Positive,,,,4.0,,,grouping,,1.0,6.0
begin voting,2023-09-29 16:37:43.820000+00:00,8.469000000000001,2510.4967878993584,2,S002,v2,,,,,,,,,,,,,
options/updateOptionVotes,2023-09-29 16:38:36.281000+00:00,52.45,5880.007870604414,5,S002,v2,option_23,,,0.0,4.0,4.0,5.0,,,voting,,4.0,3.0
options/updateOptionVotes,2023-09-29 16:38:41.502000+00:00,5.221,314.2685010810927,2,S002,v2,option_20,,,0.0,3.0,3.0,2.0,,,voting,,3.0,4.0
options/updateOptionVotes,2023-09-29 16:38:48.498000+00:00,6.995999999999999,620.4106807832834,2,S002,v2,option_11,,,0.0,2.0,2.0,3.0,,,voting,,2.0,5.0
options/updateOptionVotes,2023-09-29 16:38:52.942000+00:00,4.444000000000001,470.3641197017996,2,S002,v2,option_16,,,0.0,3.0,3.0,6.0,,,voting,,5.0,2.0
options/updateOptionVotes,2023-09-29 16:38:57.588000+00:00,4.646,714.9783036104727,2,S002,v2,option_28,,,0.0,1.0,1.0,4.0,,,voting,,1.0,6.0
options/updateOptionVotes,2023-09-29 16:39:12.654000+00:00,15.066,1320.698533104647,4,S002,v2,option_29,,,0.0,1.0,1.0,1.0,,,voting,,6.0,1.0
options/updateOptionVotes,2023-09-29 16:39:24.388000+00:00,11.734000000000002,1995.7062101829683,2,S002,v2,option_20,,,3.0,4.0,1.0,2.0,,,voting,,3.0,4.0
options/updateOptionVotes,2023-09-29 16:39:27.966000+00:00,3.5780000000000003,329.79594169886,2,S002,v2,option_11,,,2.0,3.0,1.0,3.0,,,voting,,2.0,5.0
options/updateOptionVotes,2023-09-29 16:39:54.583000+00:00,26.617000000000004,7343.986830243771,4,S002,v2,option_28,,,1.0,2.0,1.0,4.0,,,voting,,1.0,6.0
options/updateOptionVotes,2023-09-29 16:40:54.575000+00:00,42.092,7855.808984448325,6,S002,v2,option_29,,,1.0,-2.0,-3.0,1.0,,,voting,,6.0,1.0
initializing system,2023-10-02 14:05:06.003000+00:00,72.74600000000001,4894.269113983512,0,S008,v2,,,,,,,,,,,,,
options/updateOptionGroup,2023-10-02 14:06:29.413000+00:00,10.664,3901.469617334935,1,S008,v2,option_3,Undecided,Neutral,,,,5.0,,,grouping,,1.0,6.0
options/updateOptionGroup,2023-10-02 14:06:36.771000+00:00,7.358,1779.8741373240107,1,S008,v2,option_7,Undecided,Positive,,,,1.0,,,grouping,,1.0,6.0
options/updateOptionGroup,2023-10-02 14:06:42.046000+00:00,5.275,2009.082094039905,1,S008,v2,option_24,Undecided,Positive,,,,6.0,,,grouping,,1.0,6.0
options/updateOptionGroup,2023-10-02 14:06:45.873000+00:00,3.827,1071.3757721621423,1,S008,v2,option_4,Undecided,Positive,,,,4.0,,,grouping,,1.0,6.0
options/updateOptionGroup,2023-10-02 14:06:50.238000+00:00,4.365,196.43983649145483,1,S008,v2,option_6,Undecided,Positive,,,,2.0,,,grouping,,1.0,6.0
options/updateOptionGroup,2023-10-02 14:06:54.433000+00:00,4.195,734.8668097198059,1,S008,v2,option_21,Undecided,Positive,,,,3.0,,,grouping,,1.0,6.0
options/updateOptionPosition,2023-10-02 14:07:11.949000+00:00,22.163,7082.148570062544,3,S008,v2,option_3,Positive,Neutral,,,,5.0,,,grouping,,1.0,6.0
begin voting,2023-10-02 14:07:15.405000+00:00,3.471,2333.661767264498,0,S008,v2,,,,,,,,,,,,,
options/updateOptionVotes,2023-10-02 14:07:42.460000+00:00,27.04,3347.5297760453705,2,S008,v2,option_24,,,0.0,5.0,5.0,6.0,,,voting,,5.0,2.0
options/updateOptionVotes,2023-10-02 14:07:46.937000+00:00,4.477,364.20162012132016,2,S008,v2,option_7,,,0.0,3.0,3.0,1.0,,,voting,,6.0,1.0
options/updateOptionVotes,2023-10-02 14:07:57.490000+00:00,10.553,1042.8656167605366,4,S008,v2,option_6,,,0.0,2.0,2.0,2.0,,,voting,,3.0,4.0
options/updateOptionVotes,2023-10-02 14:08:00.426000+00:00,2.936,350.1307897139088,2,S008,v2,option_21,,,0.0,2.0,2.0,3.0,,,voting,,2.0,5.0
options/updateOptionVotes,2023-10-02 14:08:04.521000+00:00,4.095,244.46936002441365,2,S008,v2,option_4,,,0.0,2.0,2.0,4.0,,,voting,,4.0,3.0
