type,timestamp,time_diff,totalCursorDistance,totalMouseClicks,user_id,version_id,option_id,old_vote,new_vote,vote_diff,option_position,option_position_view,filled_page_action,version,old_group,new_group,card_order,new_position,old_position,raw_page_action,diff_square,num_groupings,distance_diff,abs_distance,cumulative_distance,cumulative_voting_time,cumulative_cursor_distance,cumsum_diff_square,step
options/updateOptionVotes,2023-09-30 21:31:30.090000+00:00,49.20299999999999,3596.0287262745883,6,S003,v1,option_15,0.0,3.0,3.0,5.0,2.0,voting,v1_short_traditional,,,,,,,9.0,0,5.0,5.0,5.0,49.20299999999999,3596.0287262745883,9.0,1
options/updateOptionVotes,2023-09-30 21:31:37.572000+00:00,7.481999999999999,391.227658568046,2,S003,v1,option_1,0.0,2.0,2.0,2.0,5.0,voting,v1_short_traditional,,,,,,,4.0,0,-3.0,3.0,8.0,56.68499999999999,3987.2563848426335,13.0,2
options/updateOptionVotes,2023-09-30 21:31:48.505000+00:00,10.933,245.09024249326387,2,S003,v1,option_11,0.0,5.0,5.0,3.0,4.0,voting,v1_short_traditional,,,,,,,25.0,0,1.0,1.0,9.0,67.618,4232.346627335898,38.0,3
options/updateOptionVotes,2023-09-30 21:31:52.760000+00:00,4.255,480.4533663728873,2,S003,v1,option_21,0.0,7.0,7.0,6.0,1.0,voting,v1_short_traditional,,,,,,,49.0,0,3.0,3.0,12.0,71.87299999999999,4712.799993708785,87.0,4
options/updateOptionVotes,2023-09-30 21:31:55.639000+00:00,2.879,297.67431804631167,2,S003,v1,option_21,7.0,5.0,-2.0,6.0,1.0,voting,v1_short_traditional,,,,,,,-24.0,0,0.0,0.0,12.0,74.75199999999998,5010.474311755097,63.0,5
options/updateOptionVotes,2023-09-30 21:31:59.650000+00:00,4.010999999999999,441.5422339087844,2,S003,v1,option_11,5.0,3.0,-2.0,3.0,4.0,voting,v1_short_traditional,,,,,,,-16.0,0,-3.0,3.0,15.0,78.76299999999999,5452.0165456638815,47.0,6
options/updateOptionVotes,2023-09-30 21:32:09.140000+00:00,9.49,794.6624690014826,2,S003,v1,option_8,0.0,3.0,3.0,1.0,6.0,voting,v1_short_traditional,,,,,,,9.0,0,-2.0,2.0,17.0,88.25299999999999,6246.679014665364,56.0,7
options/updateOptionVotes,2023-09-30 21:32:14.133000+00:00,4.992999999999999,291.2337468775321,2,S003,v1,option_4,0.0,1.0,1.0,4.0,3.0,voting,v1_short_traditional,,,,,,,1.0,0,3.0,3.0,20.0,93.24599999999998,6537.912761542896,57.0,8
options/updateOptionVotes,2023-09-30 21:32:28.050000+00:00,13.917,1687.360201197666,3,S003,v1,option_4,1.0,2.0,1.0,4.0,3.0,voting,v1_short_traditional,,,,,,,3.0,0,0.0,0.0,20.0,107.16299999999998,8225.272962740562,60.0,9
options/updateOptionVotes,2023-09-30 21:32:33.720000+00:00,5.67,514.855582452879,2,S003,v1,option_4,2.0,1.0,-1.0,4.0,3.0,voting,v1_short_traditional,,,,,,,-3.0,0,0.0,0.0,20.0,112.83299999999998,8740.128545193442,57.0,10
options/updateOptionVotes,2023-10-01 23:47:00.073000+00:00,80.799,8850.678698942027,2,S007,v1,option_5,0.0,4.0,4.0,6.0,1.0,voting,v1_short_traditional,,,,,,,16.0,0,6.0,6.0,6.0,80.799,8850.678698942027,16.0,1
options/updateOptionVotes,2023-10-01 23:47:08.983000+00:00,8.91,252.70822369822903,2,S007,v1,option_9,0.0,4.0,4.0,1.0,6.0,voting,v1_short_traditional,,,,,,,16.0,0,-5.0,5.0,11.0,89.709,9103.386922640257,32.0,2
options/updateOptionVotes,2023-10-01 23:48:22.763000+00:00,73.78,5289.941384376041,7,S007,v1,option_5,4.0,7.0,3.0,6.0,1.0,voting,v1_short_traditional,,,,,,,33.0,0,5.0,5.0,16.0,163.489,14393.328307016298,65.0,3
options/updateOptionVotes,2023-10-01 23:48:26.970000+00:00,4.207,318.0402252434176,3,S007,v1,option_5,7.0,6.0,-1.0,6.0,1.0,voting,v1_short_traditional,,,,,,,-13.0,0,0.0,0.0,16.0,167.696,14711.368532259714,52.0,4
options/updateOptionVotes,2023-10-01 23:48:30.503000+00:00,3.533,104.108634584488,2,S007,v1,option_9,4.0,7.0,3.0,1.0,6.0,voting,v1_short_traditional,,,,,,,33.0,0,-5.0,5.0,21.0,171.229,14815.477166844204,85.0,5
options/updateOptionVotes,2023-10-01 23:48:33.496000+00:00,2.993,123.08197718891856,2,S007,v1,option_9,7.0,6.0,-1.0,1.0,6.0,voting,v1_short_traditional,,,,,,,-13.0,0,0.0,0.0,21.0,174.222,14938.55914403312,72.0,6
options/updateOptionVotes,2023-10-01 23:48:36.511000+00:00,3.015,309.49046629321407,2,S007,v1,option_9,6.0,5.0,-1.0,1.0,6.0,voting,v1_short_traditional,,,,,,,-11.0,0,0.0,0.0,21.0,177.237,15248.049610326336,61.0,7
options/updateOptionVotes,2023-10-01 23:48:41.608000+00:00,5.097,451.6186046608735,2,S007,v1,option_5,6.0,5.0,-1.0,6.0,1.0,voting,v1_short_traditional,,,,,,,-11.0,0,5.0,5.0,26.0,182.334,15699.668214987209,50.0,8
options/updateOptionVotes,2023-10-01 23:49:02.667000+00:00,21.059000000000005,804.6064681659809,2,S007,v1,option_9,5.0,3.0,-2.0,1.0,6.0,voting,v1_short_traditional,,,,,,,-16.0,0,-5.0,5.0,31.0,203.393,16504.27468315319,34.0,9
options/updateOptionVotes,2023-10-01 23:49:05.256000+00:00,2.589,604.162072171359,2,S007,v1,option_5,5.0,7.0,2.0,6.0,1.0,voting,v1_short_traditional,,,,,,,24.0,0,5.0,5.0,36.0,205.982,17108.43675532455,58.0,10
